식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),식이섬유(g),나트륨(mg)
쑥갓오이무침,100ml,37,1.9,1.06,5.57,1.9,156.0
양념도토리묵,100ml,55,1.1,1.27,9.91,1.6,363.0
양배추샐러드,100ml,99,0.9,8.95,4.32,1.3,145.0
어묵오이무침,100ml,128,7.7,3.07,18.13,1.3,532.0
오이부추무침,100ml,26,0.9,0.35,5.68,1.3,206.0
짜사이무침,100ml,43,0.4,3.04,3.66,0.9,947.0
두부냉채,100ml,94,7.9,5.0,4.57,1.7,280.0
메밀묵무침,100ml,65,1.6,1.27,12.05,1.8,249.0
부추겉절이,100ml,24,1.3,1.11,3.38,1.8,178.0
부추채소무침,100ml,22,1.1,0.67,4.01,1.2,171.0
새우무침,100ml,321,37.0,11.77,15.47,1.0,462.0
소라무침,100ml,122,18.7,1.58,7.46,1.0,55.0
파래무침,100ml,49,3.6,1.11,8.65,4.1,718.0
풋마늘무침,100ml,38,1.31,0.82,8.05,2.3,155.0
피조개무침,100ml,77,7.4,1.33,9.48,1.4,307.0
가오리회무침,100ml,47,4.7,0.47,6.47,1.3,164.0
단호박샐러드,100ml,125,1.2,9.28,10.27,2.4,84.0
달걀샐러드,100ml,165,6.0,13.17,5.49,0.8,181.0
닭고기냉채,100ml,72,10.8,0.92,5.72,1.6,21.0
북어채무침,100ml,149,23.17,2.65,7.22,0.8,293.0
양장피,100ml,81,10.7,1.8,5.33,1.8,362.0
얼갈이겉절이,100ml,21,1.12,0.51,3.61,2.1,173.0
돌나물,100ml,24,0.64,0.39,5.23,0.7,154.0
두릅무침,100ml,74,3.4,2.58,11.6,2.2,1476.0
마늘장아찌무침,100ml,99,1.88,0.7,21.85,2.4,805.0
미나리무침,100ml,20,1.0,0.85,2.85,1.6,172.0
씀바귀나물,100ml,38,1.5,1.11,6.54,1.9,296.0
양배추초나물,100ml,66,2.0,2.75,9.44,2.4,175.0
얼갈이나물,100ml,48,1.9,3.05,4.0,2.7,1483.0
토란대나물,100ml,32,0.9,1.68,3.88,1.4,174.0
간재미회무침,100ml,47,4.73,0.47,6.47,1.3,164.0
개고기무침,100ml,121,7.63,8.82,3.76,2.3,111.0
낙지무침,100ml,59,9.6,0.37,4.5,1.3,452.0
냉이초나물,100ml,77,4.2,2.47,12.32,4.7,261.0
머위나물,100ml,25,1.5,1.34,2.42,1.5,184.0
무청나물,100ml,80,2.8,5.44,6.04,3.2,367.0
민들레무침,100ml,27,1.2,0.72,4.56,1.6,244.0
청경채나물,100ml,14,1.06,0.58,1.59,0.9,156.0
잔멸치튀김,100ml,67,4.0,4.12,2.9,0.1,510.0
조기튀김,100ml,144,13.4,7.77,3.62,0.1,84.0
탕수어,100ml,281,12.6,7.71,38.96,1.3,322.0
냉이나물,100ml,33,2.4,0.86,5.44,2.9,182.0
돼지갈비강정,100ml,382,25.8,19.89,20.7,0.8,539.0
돼지고기튀김,100ml,222,20.9,11.67,6.24,0.2,513.0
비프까스,100ml,208,8.1,13.68,12.25,0.6,261.0
소고기튀김,100ml,258,10.4,18.92,10.11,0.7,428.0
쑥튀김,100ml,234,6.6,13.71,19.95,2.3,552.0
양념돼지고기튀김,100ml,189,12.9,8.58,13.89,0.6,347.0
우럭튀김,100ml,289,24.7,12.12,19.21,0.5,1919.0
가지탕수,100ml,154,2.2,6.5,21.21,2.1,236.0
갈치튀김,100ml,78,4.6,5.47,1.85,0.1,172.0
게맛살튀김,100ml,213,6.1,8.61,26.31,0.5,440.0
달걀튀김,100ml,256,10.2,16.26,14.74,0.7,121.0
닭고기탕수,100ml,95,7.4,3.15,8.8,0.4,60.0
대구튀김,100ml,285,27.0,12.5,13.28,0.4,1367.0
도미튀김,100ml,301,25.9,12.22,18.9,0.7,1720.0
동태튀김,100ml,146,10.7,7.22,8.19,0.3,819.0
홍어회무침,100ml,83,7.5,2.13,8.81,1.4,797.0
적어조림,100ml,54,7.0,0.95,3.33,0.6,142.0
전어조림,100ml,60,9.0,1.22,1.9,0.3,93.0
깐쇼새우,100ml,150,7.9,6.28,14.7,0.8,266.0
게조림,100ml,21,4.2,0.18,0.31,0.0,164.0
다시마조림,100ml,60,3.1,3.35,6.96,3.4,501.0
도루묵조림,100ml,103,11.3,3.09,5.73,0.9,314.0
모듬콩조림,100ml,181,11.1,9.11,15.38,5.5,321.0
버섯조림,100ml,33,2.04,0.74,6.83,1.6,260.0
양미리조림,100ml,143,18.1,4.45,5.61,0.7,286.0
건갈치조림,100ml,96,11.2,3.68,3.68,0.3,1051.0
호박고지볶음,100ml,104,2.4,2.17,20.28,3.9,911.0
낙지삼겹살볶음,100ml,151,9.1,10.55,3.73,0.6,341.0
닭볶음,100ml,137,14.7,3.01,12.63,1.5,270.0
버섯잡채,100ml,149,4.8,12.22,6.28,2.9,207.0
베이컨채소볶음,100ml,142,6.3,8.81,10.06,2.2,241.0
소간채소볶음,100ml,120,10.5,5.29,7.74,2.5,498.0
소곱창볶음,100ml,178,9.0,13.58,4.99,2.4,369.0
죽순볶음,100ml,133,4.3,10.85,6.19,3.7,1.0
중식잡채,100ml,83,2.3,2.24,13.58,1.0,112.0
쫄볶이,100ml,150,4.7,1.41,29.37,1.3,652.0
팔보채,100ml,73,10.2,2.69,1.56,0.3,385.0
꽈리고추볶음,100ml,145,2.4,9.86,12.59,2.3,427.0
양파볶음,100ml,68,0.9,5.18,4.71,1.4,323.0
오리볶음,100ml,171,10.47,11.27,7.3,1.5,254.0
멸치볶음(멸치만),100ml,114,14.9,3.41,5.15,0.2,770.0
문어볶음,100ml,67,5.9,2.63,5.55,1.6,240.0
라볶이,100ml,113,2.0,3.39,18.5,1.1,129.0
고추잡채,100ml,67,4.18,3.91,4.21,1.4,159.0
모듬채소전,100ml,154,3.4,5.65,21.32,1.6,173.0
양파소고기전,100ml,155,5.0,10.63,8.88,1.2,435.0
새송이버섯전,100ml,63,3.16,3.73,5.89,1.5,93.0
어육소시지전,100ml,177,8.23,10.14,12.73,0.1,441.0
장떡,100ml,197,3.67,7.64,27.28,1.8,267.0
파래전,100ml,197,4.74,5.03,31.77,1.5,283.0
해물파전,100ml,106,6.0,3.99,10.63,0.5,267.0
달걀부침(달걀후라이),100ml,156,9.95,11.07,2.76,0.0,394.0
소안심스테이크,100ml,197,16.6,12.51,2.64,0.7,242.0
쑥전(부침개),100ml,127,4.8,6.29,13.44,4.6,538.0
양태구이,100ml,107,14.0,5.11,0.1,0.0,672.0
우럭구이,100ml,111,13.5,5.67,0.45,0.0,703.0
우엉양념구이,100ml,67,1.7,1.41,12.06,1.9,60.0
은대구구이,100ml,137,9.2,10.5,0.03,0.0,762.0
적어구이,100ml,174,20.9,9.04,0.31,0.0,1203.0
전갱이구이,100ml,226,27.7,11.75,0.17,0.0,1200.0
조기양념구이,100ml,219,22.1,9.3,10.96,0.9,1633.0
조기오븐구이,100ml,40,5.9,1.58,0.02,0.0,33.0
조미김구이,100ml,52,1.9,4.81,2.04,1.9,402.0
채소꼬치구이,100ml,91,2.8,2.3,14.29,1.3,406.0
청어구이,100ml,129,8.2,10.03,0.22,0.0,391.0
칠면조구이,100ml,207,30.6,7.98,0.96,0.3,551.0
키조개구이,100ml,75,8.7,3.41,1.86,0.6,881.0
넙치구이,100ml,116,13.6,6.33,0.03,0.0,615.0
느타리버섯구이,100ml,60,2.1,4.44,5.75,3.0,372.0
닭꼬치구이,100ml,181,32.1,2.58,5.55,0.1,122.0
도다리구이,100ml,153,23.7,5.5,0.71,0.0,1039.0
동태양념구이,100ml,130,21.7,3.56,1.59,0.6,641.0
민어구이,100ml,106,12.6,5.53,0.38,0.0,703.0
병어구이,100ml,244,21.4,16.23,0.45,0.0,1559.0
북어양념구이,100ml,137,20.3,2.93,6.62,0.9,285.0
서대구이,100ml,161,25.1,5.77,0.71,0.0,1177.0
소곱창구이,100ml,171,8.8,11.89,3.71,1.2,296.0
새우구이,100ml,34,7.4,0.33,0.04,0.0,323.0
소내장구이,100ml,92,6.75,6.53,0.75,0.1,57.0
옥돔구이,100ml,39,4.91,1.92,0.11,0.0,33.0
옥수수구이,100ml,148,1.43,9.01,15.41,0.9,173.0
전어구이,100ml,33,5.86,0.82,0.06,0.0,193.0
참치구이,100ml,316,33.5,19.02,0.05,0.0,1130.0
굴비구이,100ml,122,11.83,7.4,0.98,0.0,109.0
꽁치구이,100ml,80,9.39,3.97,0.79,0.0,235.0
개고기수육,100ml,226,15.8,17.15,3.1,1.4,54.0
고등어찜,100ml,92,8.6,4.88,3.21,1.4,159.0
굴찜,100ml,142,11.3,4.04,15.7,2.4,923.0
꽃게찜,100ml,52,5.9,1.33,5.1,1.8,217.0
도미찜,100ml,52,7.9,0.91,3.22,1.3,85.0
메기찜,100ml,71,7.3,2.33,5.37,1.4,150.0
명란찜,100ml,61,7.1,2.24,3.1,0.6,1130.0
미더덕찜,100ml,77,7.7,1.82,8.05,1.2,391.0
바지락찜,100ml,83,8.0,1.71,9.15,1.6,830.0
세발낙지찜,100ml,74,5.5,4.31,3.8,1.2,235.0
소고기스튜,100ml,187,10.1,11.65,9.23,1.9,310.0
소고기찜,100ml,121,5.5,8.56,5.17,1.1,163.0
오징어찜,100ml,56,8.5,1.32,2.61,0.9,113.0
고구마깻잎튀김,100ml,169,2.6,4.0,29.95,2.0,354.0
복찜,100ml,36,3.55,0.92,4.11,1.2,137.0
풋고추찜,100ml,55,2.3,1.03,9.58,2.5,349.0
해물콩나물찜,100ml,51,7.04,1.11,3.83,1.3,139.0
홍어찜,100ml,41,7.2,0.54,1.49,0.3,267.0
황태콩나물찜,100ml,82,10.17,1.99,6.92,2.5,244.0
가자미찜,100ml,78,11.8,1.95,2.79,0.7,345.0
콩나물찌개,100ml,12,1.6,0.37,1.09,0.4,219.0
해물전골,100ml,26,3.2,0.64,1.95,0.6,178.0
홍어찌개,100ml,51,7.7,0.97,3.15,1.5,84.0
가오리찜,100ml,29,2.7,0.84,3.52,1.3,127.0
가오리콩나물찜,100ml,29,2.68,0.84,3.5,1.3,111.0
꼬막찜,100ml,30,4.01,0.54,2.19,0.4,193.0
꽃게콩나물찜,100ml,52,5.86,1.34,5.1,1.8,209.0
꽈리고추찜,100ml,41,1.48,0.76,7.51,1.5,155.0
낙지찜,100ml,74,5.47,4.31,3.81,1.2,217.0
단호박찜,100ml,41,0.93,0.16,10.04,2.0,2.0
대구볼찜,100ml,45,4.23,1.23,5.37,1.8,143.0
꽁치튀김,100ml,105,5.3,7.84,2.41,0.1,222.0
복지리,100ml,30,5.6,0.31,1.49,0.6,209.0
볼락매운탕,100ml,30,3.5,0.52,2.87,0.8,191.0
붕어매운탕,100ml,23,3.1,0.7,1.08,0.5,112.0
삼치찌개,100ml,50,6.2,1.28,3.35,1.0,347.0
섞어찌개(모듬찌개),100ml,39,1.7,2.09,3.73,1.1,194.0
송어매운탕,100ml,54,6.6,1.35,4.03,1.2,247.0
숭어매운탕,100ml,51,6.8,0.87,4.11,1.2,241.0
애호박찌개,100ml,17,0.9,0.17,3.54,1.6,264.0
연두부찌개,100ml,42,4.8,1.48,2.59,0.8,291.0
잉어매운탕,100ml,52,5.7,1.5,4.08,1.2,231.0
잡탕전골,100ml,56,4.9,1.73,4.99,0.7,279.0
조기찌개,100ml,23,2.4,0.64,1.93,0.7,94.0
참치찌개,100ml,42,5.4,0.97,3.05,0.8,306.0
꽃게매운탕,100ml,31,5.7,0.27,1.3,0.2,169.0
대구탕,100ml,45,4.7,0.89,5.03,1.1,285.0
도루묵찌개,100ml,63,6.8,2.31,4.04,1.4,62.0
명태매운탕,100ml,49,7.1,1.03,3.15,1.5,58.0
모듬채소전골,100ml,20,1.8,0.6,2.1,0.9,145.0
민어매운탕,100ml,35,4.5,0.79,2.98,1.0,140.0
버섯샤브샤브,100ml,27,2.0,1.36,2.46,1.0,143.0
번데기탕,100ml,23,2.2,1.48,0.42,0.2,109.0
병어찌개,100ml,54,5.3,2.06,3.4,1.0,485.0
보신탕,100ml,42,3.0,2.68,2.12,1.1,65.0
복매운탕,100ml,31,5.1,0.39,2.25,1.0,228.0
소고기샤브샤브,100ml,46,2.95,2.04,4.08,0.6,114.0
순대전골,100ml,76,5.61,3.18,6.28,1.4,160.0
아귀지리,100ml,21,3.97,0.13,0.89,0.3,87.0
오리백숙,100ml,124,7.36,7.72,5.57,0.3,68.0
청국장찌개,100ml,45,4.0,1.01,4.91,2.3,293.0
가자미매운탕,100ml,31,4.5,0.82,1.4,0.6,130.0
광어매운탕,100ml,63,8.9,1.74,2.94,1.1,55.0
국수전골,100ml,88,3.4,1.83,14.56,1.2,298.0
곱창전골,100ml,47,3.57,2.61,2.66,1.0,111.0
김치전골,100ml,40,3.0,1.02,4.91,1.3,72.0
낙지전골,100ml,35,4.19,0.6,3.56,1.0,198.0
내장전골,100ml,58,5.41,2.88,2.89,1.1,128.0
어묵국물,100ml,7,0.5,0.13,1.05,0.2,234.0
올갱이해장국,100ml,41,4.0,1.35,3.54,1.7,342.0
조개탕,100ml,12,1.8,0.15,0.7,0.1,111.0
갈치찌개,100ml,45,4.12,1.57,2.96,0.9,136.0
개고기전골,100ml,74,5.56,5.03,2.35,1.4,109.0
바지락된장국,100ml,16,1.6,0.35,1.78,0.8,130.0
바지락미역국,100ml,13,1.9,0.28,1.22,0.7,304.0
뼈다귀해장국,100ml,21,2.7,0.63,0.96,0.4,108.0
소고기미역국,100ml,21,1.6,1.37,0.92,0.7,258.0
꼬리곰탕,100ml,40,2.3,2.17,2.29,0.1,79.0
몸국,100ml,22,2.9,0.65,1.54,1.0,119.0
감자된장국,100ml,22,1.4,0.32,3.31,0.9,216.0
고디국(다슬기맑은국),100ml,17,1.4,0.71,1.58,0.9,96.0
김치된장국,100ml,15,1.1,0.38,1.97,1.1,239.0
망둥어찌개,100ml,44,5.9,0.85,3.4,1.0,483.0
닭백숙,100ml,56,4.23,2.11,4.49,0.2,49.0
무국,100ml,7,0.3,0.17,1.2,0.4,184.0
흑임자죽,100ml,106,2.2,3.37,16.36,1.1,130.0
굴죽,100ml,107,2.4,2.99,16.76,0.5,196.0
대합죽,100ml,106,2.5,2.89,16.61,0.5,223.0
복죽,100ml,107,2.7,2.73,16.84,0.3,154.0
오리감자죽,100ml,97,3.7,2.14,15.11,1.1,121.0
내장탕,100ml,33,2.2,1.98,1.59,0.7,297.0
비빔냉면,100ml,90,3.8,1.66,14.53,1.1,152.0
오븐스파게티,100ml,122,5.6,3.49,16.77,1.2,120.0
짬뽕라면,100ml,91,3.4,2.92,12.32,0.9,91.0
회냉면,100ml,80,3.4,0.87,14.38,0.7,294.0
쟁반짜장,100ml,145,5.85,2.63,23.63,1.6,321.0
중식우동,100ml,91,4.73,0.84,15.29,0.9,202.0
해물칼국수,100ml,77,3.09,0.4,14.64,0.5,252.0
막국수,100ml,58,2.0,0.6,10.96,0.5,226.0
도미매운탕,100ml,47,5.9,1.13,3.37,1.0,351.0
메밀소바,100ml,86,2.49,0.32,17.96,0.7,254.0
비빔막국수,100ml,104,3.06,0.86,21.47,1.8,256.0
호박나물,100ml,38,0.7,2.71,3.16,1.3,213.0
콩나물무침,100ml,19,1.6,1.15,1.45,0.6,138.0
배추숙주나물,100ml,22,1.5,0.62,3.58,2.1,127.0
삼치튀김,100ml,136,13.7,6.82,3.69,0.1,929.0
돼지등심장조림,100ml,111,16.0,2.38,4.75,0.1,410.0
무어묵조림,100ml,112,6.3,3.06,14.92,0.8,622.0
소시지조림,100ml,196,11.4,11.1,12.66,0.6,1128.0
오징어포조림,100ml,133,15.5,1.77,13.03,0.6,449.0
떡볶이,100ml,258,4.3,3.62,53.39,2.3,673.0
달걀후라이,100ml,178,11.0,12.76,3.05,0.0,218.0
북어구이,100ml,287,46.5,5.91,10.53,2.1,932.0
버섯매운탕,100ml,45,2.4,1.36,6.93,2.0,160.0
돼지고기찜,100ml,109,10.82,3.25,8.89,0.7,220.0
김치청국장찌개,100ml,30,2.6,0.9,3.2,1.6,191.0
동태매운탕,100ml,25,3.3,0.5,1.98,0.8,184.0
돼지갈비전골,100ml,227,16.6,15.14,5.07,0.6,332.0
된장찌개,100ml,46,3.6,1.2,5.63,2.1,341.0
유부국,100ml,17,1.08,1.02,1.13,0.3,162.0
핫케이크,100ml,193,4.7,5.18,30.48,0.9,339.0
하이라이스,100ml,120,3.3,1.69,22.08,1.2,71.0
돼지고기덮밥,100ml,165,7.92,2.72,26.17,1.1,143.0
카레라이스,100g,108,3.11,1.4,20.74,0.5,210.0
콩나물밥,100g,123,4.68,1.58,22.39,1.9,272.0
꿀떡,100g,228,3.74,1.73,49.48,0.8,275.0
인절미,100g,242,5.64,2.16,50.07,2.9,297.0
증편,100g,200,3.17,1.2,44.15,1.0,284.0
마늘빵,100g,438,12.06,17.58,57.94,4.3,519.0
머핀,100g,384,5.73,13.84,59.15,1.1,411.0
모닝빵,100g,314,9.5,7.43,52.17,2.4,489.0
모카빵,100g,339,8.55,8.05,57.96,3.6,354.0
베이글,100g,306,10.0,5.83,53.48,2.7,695.0
식빵,100g,264,9.34,2.6,50.91,3.5,468.0
초코소라빵,100g,319,3.29,10.93,51.76,2.1,215.0
카스텔라,100g,335,10.03,11.47,47.99,1.3,63.0
크로와상,100g,446,7.52,26.98,43.31,2.3,457.0
피자빵,100g,298,8.85,15.05,31.76,2.2,637.0
잡채,100g,146,4.71,3.3,24.26,3.7,360.0
풋고추볶음,100g,70,1.93,3.23,8.25,3.7,276.0
닭볶음탕,100g,111,11.91,3.22,8.52,1.5,376.0
병어조림,100g,112,12.46,4.78,4.87,0.9,842.0
오징어채조림,100g,240,23.52,4.9,25.36,5.8,1130.0
김튀김,100g,522,11.0,28.9,54.36,12.2,606.0
미역튀각,100g,443,13.24,33.9,21.14,31.1,5223.0
고사리나물무침,100g,90,3.78,5.52,6.28,5.6,441.0
고춧잎나물무침,100g,88,4.41,4.69,7.14,5.4,797.0
도라지나물무침,100g,130,2.48,7.52,13.12,4.9,411.0
머위대나물무침,100g,58,3.96,2.56,4.76,1.5,363.0
무나물무침,100g,21,0.62,0.46,3.64,1.6,352.0
방풍나물무침,100g,76,4.39,1.73,10.74,6.7,267.0
비름나물무침,100g,73,3.46,4.05,5.7,3.8,335.0
시래기나물무침,100g,114,4.32,7.28,7.74,6.7,514.0
씀바귀나물무침,100g,97,3.87,1.73,16.57,5.2,204.0
열무나물,100g,82,3.91,5.3,4.76,4.0,460.0
토란대나물무침,100g,68,5.14,3.38,4.22,3.4,222.0
호박오가리나물무침,100g,201,6.14,10.01,21.46,7.0,1849.0
가죽나물무침,100g,76,5.83,1.35,10.05,6.2,276.0
굴무침,100g,77,6.68,2.31,7.3,3.5,204.0
김무침,100g,259,21.17,10.73,19.33,17.5,1011.0
민들레잎무침,100g,81,2.69,2.33,12.32,5.0,248.0
톳나물무침,100g,75,1.87,2.09,12.28,6.4,600.0
해초무침,100g,39,0.95,0.16,8.52,4.3,862.0
회무침,100g,82,8.09,1.65,8.6,2.6,275.0
나박김치,100g,10,0.46,0.38,1.15,0.8,377.0
가자미식해,100g,134,11.09,4.81,11.64,4.1,685.0
단무지,100g,13,0.33,0.2,2.4,1.3,552.0
무짠지,100g,11,0.54,0.12,1.98,2.6,2382.0
무초절임(치킨무),100g,17,0.52,0.3,3.05,1.5,189.0
미숫가루,100g,70,2.08,2.27,10.42,2.2,24.0
떡국,100g,84,3.43,0.53,16.37,0.8,176.0
수제비,100g,58,2.31,0.52,11.08,1.1,142.0
우동볶음,100g,128,2.8,2.01,24.79,2.0,257.0
월남쌈,100g,118,5.94,4.97,12.25,1.8,230.0
오리죽,100g,155,7.5,4.99,19.95,1.7,62.0
도가니탕,100g,40,8.35,0.33,0.82,1.3,150.0
북어국,100g,28,3.89,0.98,0.84,1.1,232.0
어묵국(어묵탕),100g,31,1.49,1.03,3.83,0.4,226.0
장어탕,100g,67,4.32,3.91,3.68,1.1,387.0
재첩국,100g,23,0.67,0.29,4.54,0.1,126.0
조개국,100g,16,1.67,0.89,0.25,0.6,297.0
닭발구이,100g,196,18.15,9.41,9.7,3.0,827.0
떡갈비,100g,202,21.38,11.82,2.46,1.1,404.0
버섯구이,100g,52,5.16,1.38,4.78,3.6,492.0
버섯구이표고버섯,100g,100,4.34,1.06,18.14,11.1,435.0
삼겹살구이,100g,467,22.56,41.69,0.35,0.7,576.0
오리고기구이,100g,293,24.06,19.7,4.89,2.2,708.0
고구마전,100g,227,2.92,7.98,35.99,3.6,87.0
메밀전,100g,161,4.02,0.64,34.79,3.0,145.0
닭발볶음,100g,186,13.8,9.38,11.72,2.6,974.0
당근볶음,100g,95,0.93,6.63,7.79,3.0,216.0
돼지고기볶음(제육볶음),100g,195,12.15,14.19,4.73,3.6,501.0
브로콜리볶음,100g,51,4.42,1.28,5.53,4.5,94.0
새우볶음,100g,83,9.91,2.21,5.96,1.1,326.0
고추장아찌무침,100ml,62,1.5,0.9,13.91,3.1,697.0
무생채(무만),100ml,30,1.03,0.56,5.77,1.8,249.0
유부조림,100ml,254,13.7,18.34,7.95,0.9,243.0
망둥어찜,100ml,52,8.5,0.7,2.96,1.2,202.0
멸치미역국,100ml,9,1.1,0.38,0.71,0.4,375.0
버섯국,100ml,42,3.3,2.43,2.71,1.4,161.0
삼색오이냉국,100ml,17,0.6,0.21,3.52,0.4,234.0
소고기두부국,100ml,34,2.8,2.18,0.62,0.3,160.0
미역냉국,100ml,26,0.9,1.65,2.58,1.2,643.0
감자밥,100ml,130,2.4,0.14,28.45,0.7,2.0
양파장아찌,100ml,63,0.6,0.03,16.05,1.0,6050.0
오이모듬무침,100ml,34,1.4,0.58,6.89,1.5,305.0
양배추김치,100ml,39,2.2,0.39,8.29,3.4,2099.0
깻잎장아찌,100ml,65,3.7,0.72,12.9,3.9,520.0
무파래무침,100ml,23,1.1,0.38,4.86,1.2,221.0
북어채고추장무침,100ml,296,36.6,10.34,14.1,3.2,942.0
감자연근튀김,100ml,149,3.8,4.31,22.74,1.8,405.0
오리간장불고기,100ml,98,12.6,2.41,6.16,0.6,313.0
애호박된장국,100ml,23,2.0,0.48,3.18,1.5,283.0
오이미역냉국,100ml,13,0.7,0.21,2.91,0.8,338.0
가지냉국,100ml,19,1.1,0.39,3.42,1.9,654.0
감자호박된장국,100ml,25,2.1,0.43,3.51,1.4,377.0
나폴리탄스파게티,100ml,116,3.6,1.38,22.5,1.6,206.0
